date,commodity,state,market,avg_price,min_price,max_price
2026-05-10,turmeric,maharashtra,basmat,11477.0,9705.0,13250
2026-05-10,turmeric,maharashtra,bhokar,11450.0,10500.0,12400
2026-05-10,turmeric,maharashtra,sangli,14200.0,10550.0,17800
2026-05-10,turmeric,maharashtra,vai,15500.0,14000.0,17300
2026-05-10,turmeric,maharashtra,washim,19500.0,17200.0,21700
2026-05-10,turmeric,maharashtra,mumbai,20250.0,16500.0,24000
2026-05-10,turmeric,maharashtra,hingoli,12800.0,11800.0,13800
2026-05-10,onion,maharashtra,pune,,,1300
2026-05-10,onion,maharashtra,nashik,1000.0,1000.0,1000
2026-05-10,onion,maharashtra,nagpur,1300.0,1000.0,1400
2026-05-10,onion,maharashtra,mumbai,1600.0,1200.0,2000
2026-05-10,wheat,maharashtra,akola,2815.0,2000.0,3600
2026-05-10,wheat,maharashtra,barshi,2650.0,2650.0,2650
2026-05-10,wheat,maharashtra,bhandara,2400.0,2100.0,2500
2026-05-10,wheat,maharashtra,jalgaon,2225.0,2200.0,2250
2026-05-10,wheat,maharashtra,latur,2700.0,2330.0,2835
2026-05-10,soyabean,maharashtra,nagpur,6355.0,5500.0,6640
2026-05-10,soyabean,maharashtra,amravati,4868.0,4720.0,5000
2026-05-10,soyabean,maharashtra,nanded,4540.0,4500.0,4545
2026-05-10,soyabean,maharashtra,latur,6450.0,6321.0,6545
2026-05-10,arhar-turred-gram-whole,maharashtra,amravati,8200.0,7300.0,8315
2026-05-10,arhar-turred-gram-whole,maharashtra,baramati,5000.0,5000.0,5000
2026-05-10,arhar-turred-gram-whole,maharashtra,bhokar,6046.0,6000.0,6091
2026-05-10,arhar-turred-gram-whole,maharashtra,bhusaval,7000.0,7000.0,7000
2026-05-10,arhar-turred-gram-whole,maharashtra,bhandara,6000.0,6000.0,6000
2026-05-10,arhar-turred-gram-whole,maharashtra,parbhani,6300.0,6200.0,6400
2026-05-10,arhar-turred-gram-whole,maharashtra,jalna,7690.0,7460.0,8000
2026-05-10,arhar-turred-gram-whole,maharashtra,pusad,5785.0,5690.0,5945
2026-05-10,arhar-turred-gram-whole,maharashtra,wardha,6100.0,6025.0,6200
2026-05-10,arhar-turred-gram-whole,maharashtra,washim,6250.0,6015.0,6641
2026-05-10,arhar-turred-gram-whole,maharashtra,yeotmal,6180.0,6105.0,6255
